Wavelength (μm)	% Transmission
0.553	93.698973
0.554	93.63352
0.555	93.640018
0.556	93.641645
0.557	93.651409
0.558	93.733935
0.559	93.68084
0.56	93.624953
0.561	93.681303
0.562	93.674271
0.563	93.673275
0.564	93.617332
0.565	93.728221
0.566	93.710414
0.567	93.658979
0.568	93.710561
0.569	93.673362
0.57	93.681446
0.571	93.599854
0.572	93.677654
0.573	93.714419
0.574	93.679553
0.575	93.684018
0.576	93.70381
0.577	93.623643
0.578	93.704805
0.579	93.723109
0.58	93.693857
0.581	93.697267
0.582	93.687695
0.583	93.641695
0.584	93.72886
0.585	93.66668
0.586	93.677216
0.587	93.714648
0.588	93.675728
0.589	93.653121
0.59	93.723633
0.591	93.676855
0.592	93.687931
0.593	93.737368
0.594	93.694725
0.595	93.671325
0.596	93.73441
0.597	93.679916
0.598	93.68229
0.599	93.696534
0.6	93.711161
0.601	93.727921
0.602	93.719923
0.603	93.710207
0.604	93.701415
0.605	93.70842
0.606	93.670683
0.607	93.734921
0.608	93.742604
0.609	93.676097
0.61	93.7044
0.611	93.689646
0.612	93.702374
0.613	93.691287
0.614	93.766456
0.615	93.741974
0.616	93.694223
0.617	93.701317
0.618	93.732829
0.619	93.678531
0.62	93.783203
0.621	93.744906
0.622	93.704565
0.623	93.684925
0.624	93.729931
0.625	93.666831
0.626	93.755264
0.627	93.747627
0.628	93.718463
0.629	93.711182
0.63	93.744021
0.631	93.705973
0.632	93.768746
0.633	93.747255
0.634	93.716579
0.635	93.688558
0.636	93.707814
0.637	93.698565
0.638	93.774491
0.639	93.749079
0.64	93.704721
0.641	93.696917
0.642	93.747226
0.643	93.705773
0.644	93.774576
0.645	93.742179
0.646	93.692191
0.647	93.680748
0.648	93.706363
0.649	93.719963
0.65	93.762304
0.651	93.730975
0.652	93.7076
0.653	93.711699
0.654	93.721139
0.655	93.70913
0.656	93.750692
0.657	93.724769
0.658	93.712607
0.659	93.726473
0.66	93.723513
0.661	93.717073
0.662	93.763373
0.663	93.755397
0.664	93.733338
0.665	93.751844
0.666	93.746833
0.667	93.739776
0.668	93.798494
0.669	93.798101
0.67	93.745154
0.671	93.767687
0.672	93.758784
0.673	93.768991
0.674	93.802125
0.675	93.750124
0.676	93.746804
0.677	93.756084
0.678	93.771215
0.679	93.760237
0.68	93.80544
0.681	93.739296
0.682	93.747235
0.683	93.766708
0.684	93.760231
0.685	93.780029
0.686	93.807731
0.687	93.734153
0.688	93.753914
0.689	93.776573
0.69	93.767397
0.691	93.781251
0.692	93.794098
0.693	93.812627
0.694	93.78232
0.695	93.768109
0.696	93.763917
0.697	93.728766
0.698	93.760347
0.699	93.791965
0.7	93.771303
0.701	93.758279
0.702	93.759265
0.703	93.760108
0.704	93.740314
0.705	93.786183
0.706	93.793495
0.707	93.77177
0.708	93.753899
0.709	93.753386
0.71	93.763495
0.711	93.807549
0.712	93.780444
0.713	93.774004
0.714	93.800558
0.715	93.79726
0.716	93.797426
0.717	93.829131
0.718	93.784587
0.719	93.771191
0.72	93.770671
0.721	93.77456
0.722	93.77405
0.723	93.804949
0.724	93.80244
0.725	93.779958
0.726	93.775012
0.727	93.76226
0.728	93.762883
0.729	93.821222
0.73	93.809102
0.731	93.770644
0.732	93.767605
0.733	93.770151
0.734	93.773621
0.735	93.807778
0.736	93.792026
0.737	93.781425
0.738	93.77884
0.739	93.758099
0.74	93.77095
0.741	93.803354
0.742	93.793143
0.743	93.774097
0.744	93.758971
0.745	93.764712
0.746	93.798405
0.747	93.834325
0.748	93.815151
0.749	93.789852
0.75	93.793866
0.751	93.78337
0.752	93.809139
0.753	93.847512
0.754	93.80546
0.755	93.784952
0.756	93.793701
0.757	93.80238
0.758	93.844281
0.759	93.860208
0.76	93.813185
0.761	93.794254
0.762	93.7977
0.763	93.789296
0.764	93.836691
0.765	93.874466
0.766	93.830784
0.767	93.793226
0.768	93.810009
0.769	93.814503
0.77	93.839301
0.771	93.871459
0.772	93.827816
0.773	93.810039
0.774	93.819051
0.775	93.814095
0.776	93.874004
0.777	93.87566
0.778	93.82984
0.779	93.824446
0.78	93.828007
0.781	93.833775
0.782	93.873053
0.783	93.855659
0.784	93.808053
0.785	93.81625
0.786	93.844418
0.787	93.846464
0.788	93.865721
0.789	93.853543
0.79	93.818896
0.791	93.811341
0.792	93.817062
0.793	93.823508
0.794	93.874401
0.795	93.860572
0.796	93.824747
0.797	93.826101
0.798	93.838705
0.799	93.840482
0.8	93.892871
